SKU;Nombre_Comercial;Color;Linea;Ambiente;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;URLs_Fotos;Imagen_Tecnica;Manual_PDF;Video_YouTube;Relacionados;Detalles_Tecnicos
221150;Escritorio OPUS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Escena Art 221150.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 (pd) - Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 (pf) - Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/Art 221150 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 221150 (Escritorio OPUS)/A221150-IA-IM02.PDF;;;
320-12;Placard ORBIS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Escena Art 320-12 (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Escena Art 320-12 (pf) Carvalho (abierto) (sin fondo).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/320-12 - Real 1 (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/320-12 - Real 1 (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Art 320-12 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/Art 320-12 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-12 (Placard ORBIS)/A032012-IA-IM06.PDF;;;
320-13;Placard SPECULA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Escena Art 320-13 (carvalho) (pf) (abierto).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Escena Art 320-13 (carvalho) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 -Real 1 (Carvalho) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 -Real 2 (Carvalho) (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 (pf) (Carvalho) Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/Art 320-13 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 320-13 (Placard SPECULA)/A032013-IA-IM01.PDF;;;
708-15;Placard SERENA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho) (abierto) (con ropa).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho) A.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Escena Art 708-15 (pf) (Carvalho).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Real 1 (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Real 2 (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 708-15 (Placard SERENA)/Art 708-15 - Medidas.png;;;;
710150;Botinero ARCA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 6.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/710150 Foto Real 8.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/Art 710150 - Silueta.png";;/Artículos Gacela Muebles 2026/Línea Clásica/Art 710150 (Botinero ARCA)/A710150-IA-IM00.pdf;;;
712151;cama BOX NIDUS;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Escena Art 712151.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pd) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pl) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712152 (pls) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712151 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/Art 712151 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 712151 (cama BOX NIDUS)/A712151-IA-IM00.PDF;;;
712152;Cama BOX AUREA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Escena 712152 A.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 3.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 4.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 5.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 6.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 7.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/712152 Foto Real 8.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Art 712152 - Silueta.jpg";/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/Art 712152 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 712152 (Cama BOX AUREA)/A712152-IA-IM01.PDF;;;
748252;Respaldo YUKI;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Escena Art 748252.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 (pf) Real 1.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 (pf) Real 2.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/Art 748252 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 748252 (Respaldo YUKI)/A748252-IA-IM00.PDF;;;
828-5;Mesa de luz LUMA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Escena 828-5 (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Escena Art 828-5 (roble-blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (blanco) (pd).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (Blanco) (pf) - Silueta.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (blanco) (pf).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pd) - Abierto.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pd).jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pf) - Silueta.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 (pf).jpg";/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/Art 828-5 - Medidas.png;/Artículos Gacela Muebles 2026/Línea Clásica/Art 828-5 (Mesa de luz LUMA)/A008285-IA-IM00.PDF;;;
839-5;Cómoda ALBA;;Clásica;;;;;;;;"/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Escena Art 839-5 (b).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Escena Art 839-5 (b-rm).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 1 v1 a (blanco.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 1 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 2 v2 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 2 v2 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 3 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 3 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 4 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 4 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 5 v1 a (blanco).png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 5 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/839-5 Foto Real 6 v1 a.jpg; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 (Blanco) (pf) - Silueta.png; /Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 (pf) - Silueta.png";/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/Art 839-5 - Medidas.jpg;/Artículos Gacela Muebles 2026/Línea Clásica/Art 839-5 (Cómoda ALBA)/A008395-IA-IM01.PDF;;;
