SKU;Nombre_Comercial;Linea;Ambiente;Color;Descripcion_Corta;Descripcion_Larga;Medidas_Mueble;Peso;Embalaje;Cantidad_Paquetes;Foto_Medidas;Fotos_Mueble;Manual_PDF;Relacionados
GAC-ART221150ESCRITORIOOPUS;Art 221150 (Escritorio OPUS);Línea Clásica;;;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/art-221150-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/escena-art-221150.png,/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/art-221150-pd-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/art-221150-pf-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/art-221150-silueta.png;/articulos-gacela-muebles-2026/linea-clasica/art-221150-escritorio-opus/a221150-ia-im02.pdf;
GAC-ART32012PLACARDORBIS-CA;Art 320-12 (Placard ORBIS);Línea Clásica;;Carvalho;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/art-320-12-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/escena-art-320-12-carvalho.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/320-12-real-1-pd.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/320-12-real-1-pf.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/art-320-12-silueta.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/escena-art-320-12-pf-carvalho-abierto-sin-fondo.png;/articulos-gacela-muebles-2026/linea-clasica/art-320-12-placard-orbis/a032012-ia-im06.pdf;
GAC-ART32013PLACARDSPECULA-CA;Art 320-13 (Placard SPECULA);Línea Clásica;;Carvalho;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/art-320-13-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/escena-art-320-13-carvalho-pf.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/art-320-13-pf-carvalho-silueta.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/art-320-13-principal-carvalho-pf.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/art-320-13-real-2-carvalho-pd.png,/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/escena-art-320-13-carvalho-pf-abierto.png;/articulos-gacela-muebles-2026/linea-clasica/art-320-13-placard-specula/a032013-ia-im01.pdf;
GAC-ART70815PLACARDSERENA-CA;Art 708-15 (Placard SERENA);Línea Clásica;;Carvalho;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/art-708-15-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/escena-art-708-15-carvalho.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/art-708-15-real-1-pf.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/art-708-15-real-2-pd.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/art-708-15-silueta.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/escena-art-708-15-pf-carvalho-abierto-con-ropa.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/escena-art-708-15-pf-carvalho-a.png,/articulos-gacela-muebles-2026/linea-clasica/art-708-15-placard-serena/escena-art-708-15-pf-carvalho.png;;
GAC-ART710150BOTINEROARCA;Art 710150 (Botinero ARCA);Línea Clásica;;;;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-5.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-6.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-7.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/710150-foto-real-8.png,/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/art-710150-silueta.png;/articulos-gacela-muebles-2026/linea-clasica/art-710150-botinero-arca/a710150-ia-im00.pdf;
GAC-ART712151CAMABOXNIDUS;Art 712151 (cama BOX NIDUS);Línea Clásica;;;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/art-712151-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/escena-art-712151.png,/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/art-712151-silueta.png,/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/art-712152-pd-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/art-712152-pl-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/art-712152-pls-real-1.png;/articulos-gacela-muebles-2026/linea-clasica/art-712151-cama-box-nidus/a712151-ia-im00.pdf;
GAC-ART712152CAMABOXAUREA;Art 712152 (Cama BOX AUREA);Línea Clásica;;;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/art-712152-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/escena-712152-a.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-3.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-4.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-5.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-6.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-7.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/712152-foto-real-8.png,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/art-712152-cotas.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/art-712152-silueta.jpg;/articulos-gacela-muebles-2026/linea-clasica/art-712152-cama-box-aurea/a712152-ia-im01.pdf;
GAC-ART748252RESPALDOYUKI;Art 748252 (Respaldo YUKI);Línea Clásica;;;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/art-748252-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/escena-art-748252.png,/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/art-748252-pf-real-1.png,/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/art-748252-pf-real-2.png,/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/art-748252-silueta.png;/articulos-gacela-muebles-2026/linea-clasica/art-748252-respaldo-yuki/a748252-ia-im00.pdf;
GAC-ART8285MESADELUZLUMA-BL;Art 828-5 (Mesa de luz LUMA);Línea Clásica;;Blanco;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-medidas.png;/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/escena-828-5-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-pd-abierto.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-pd.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-pf-silueta.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-pf.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-blanco-pd.png,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-blanco-pf-silueta.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/art-828-5-blanco-pf.png,/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/escena-art-828-5-roble-blanco.png;/articulos-gacela-muebles-2026/linea-clasica/art-828-5-mesa-de-luz-luma/a008285-ia-im00.pdf;
GAC-ART8395CMODAALBA-BL;Art 839-5 (Cómoda ALBA);Línea Clásica;;Blanco;;;;;;;/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/art-839-5-medidas.jpg;/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/escena-art-839-5-b.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-1-v1-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-2-v2-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-3-v1-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-4-v1-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-5-v1-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-6-v1-a.jpg,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/art-839-5-pf-silueta.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/escena-art-839-5-b-rm.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-1-v1-a-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-2-v2-a-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-3-v1-a-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-4-v1-a-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/839-5-foto-real-5-v1-a-blanco.png,/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/art-839-5-blanco-pf-silueta.png;/articulos-gacela-muebles-2026/linea-clasica/art-839-5-comoda-alba/a008395-ia-im01.pdf;
